"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type"
2.07411482670672e-32,-0.944013929157861,0.275,0.389,7.08870224323554e-28,"AC019197.1","L2/3 IT"
2.37076513951311e-32,-0.477617452298448,0.492,0.611,8.10256401731396e-28,"RPH3A","L2/3 IT"
3.62804334423191e-32,-0.505377802906483,0.413,0.534,1.23995637375814e-27,"AP004608.1","L2/3 IT"
4.26516490477211e-32,-0.822843308389973,0.194,0.306,1.45770540950396e-27,"DPYD-AS1","L2/3 IT"
7.8237536599343e-32,-0.903867389864226,0.198,0.304,2.67392428835575e-27,"AL160254.1","L2/3 IT"
7.9923734278565e-32,-0.995383648772812,0.192,0.299,2.73155346643851e-27,"AL138828.1","L2/3 IT"
1.27028437920031e-31,-1.11690694665431,0.133,0.231,4.3414509227929e-27,"GABRG3-AS1","L2/3 IT"
1.92251013709972e-31,-0.972148072164867,0.115,0.211,6.57056289556572e-27,"ZNF451-AS1","L2/3 IT"
6.38058839281106e-31,0.295869902717207,0.904,0.873,2.18069369501104e-26,"SYT7","L2/3 IT"
8.20736973040424e-31,-1.03652467036101,0.137,0.235,2.80503275276026e-26,"SLC22A25","L2/3 IT"
9.57032603064635e-31,-0.812648890964968,0.229,0.337,3.270850327494e-26,"AC006387.1","L2/3 IT"
3.10943633199947e-30,-0.865021975406584,0.25,0.356,1.06271205518746e-25,"AP001831.1","L2/3 IT"
3.14814051507635e-30,-0.683696263979849,0.305,0.412,1.07593998383764e-25,"AP002370.2","L2/3 IT"
5.94182134844942e-30,-0.860302763880578,0.193,0.298,2.03073628225956e-25,"AC073167.1","L2/3 IT"
9.98890721422312e-30,0.255394335685739,0.945,0.925,3.41390881860504e-25,"ZMYND8","L2/3 IT"
1.38671210718601e-29,-0.957984636661328,0.147,0.244,4.73936596872963e-25,"AC092574.2","L2/3 IT"
1.42873023042105e-29,-0.359279727291505,0.692,0.76,4.88297130851001e-25,"TTC8","L2/3 IT"
1.83496537215258e-29,0.378493220214111,0.811,0.745,6.27136115240586e-25,"TSPYL1","L2/3 IT"
1.9195900697022e-29,0.378834665013582,0.798,0.745,6.56058298122123e-25,"SYN1","L2/3 IT"
4.50031642339004e-29,-0.834100583561634,0.136,0.231,1.53807314402201e-24,"AL162719.1","L2/3 IT"
1.15631687418539e-28,-0.768593575464922,0.248,0.354,3.95194418090342e-24,"LRTM1","L2/3 IT"
2.44029899222674e-28,-0.339246819946392,0.749,0.817,8.34020986573333e-24,"STAT4","L2/3 IT"
2.57387074611965e-28,0.338388199409834,0.816,0.76,8.79671804901313e-24,"ZBTB7A","L2/3 IT"
3.49753280192474e-28,-0.872262195305284,0.202,0.302,1.19535178571382e-23,"AC079117.1","L2/3 IT"
3.82577152137669e-28,-0.376429483746839,0.747,0.812,1.30753393286091e-23,"AC092745.5","L2/3 IT"
6.80088518720253e-28,-0.819942429709645,0.185,0.283,2.32433853043021e-23,"JAKMIP2-AS1","L2/3 IT"
8.65994350322469e-28,-0.68586782988146,0.299,0.414,2.9597088910971e-23,"RPL26","L2/3 IT"
9.10062989825097e-28,-0.710450919374581,0.347,0.451,3.11032228032524e-23,"AC090709.1","L2/3 IT"
2.66145993706516e-27,-0.926368456466679,0.122,0.212,9.0960716269076e-23,"AP000462.1","L2/3 IT"
2.88694496766905e-27,-1.04128074597011,0.116,0.203,9.86671181600251e-23,"SPDYE3","L2/3 IT"
6.38257484127731e-27,-0.574632624204397,0.366,0.47,2.18137260350335e-22,"TMEM14A","L2/3 IT"
1.31756257754337e-26,-0.883638397154728,0.135,0.223,4.50303362126996e-22,"IGSF10","L2/3 IT"
1.35053053630144e-26,-0.962313619266975,0.15,0.24,4.61570821391743e-22,"AC011369.1","L2/3 IT"
1.83522801851523e-26,-0.535210314468255,0.317,0.428,6.27225879887951e-22,"MAK","L2/3 IT"
2.60880449675051e-26,0.283739664361626,0.88,0.841,8.91611112854423e-22,"RTN4RL1","L2/3 IT"
3.18160176792102e-26,0.259266788713724,0.893,0.871,1.08737603622237e-21,"SNED1","L2/3 IT"
3.75554062584531e-26,-1.46387757037441,0.071,0.144,1.28353111969515e-21,"AC112481.2","L2/3 IT"
7.59470172405306e-26,-0.306573763237359,0.76,0.826,2.59564120822961e-21,"SLC22A10","L2/3 IT"
8.17148585560088e-26,-0.565432502694165,0.282,0.39,2.79276872086871e-21,"PCED1B","L2/3 IT"
9.33180976442845e-26,-0.625659489886019,0.229,0.332,3.18933262318871e-21,"AC068282.1","L2/3 IT"
1.08923977324888e-25,0.274278216745928,0.905,0.871,3.72269477303268e-21,"INSR","L2/3 IT"
1.33709001074444e-25,-1.01978780290038,0.128,0.214,4.56977252972128e-21,"AC084361.1","L2/3 IT"
1.54368495215615e-25,0.357496811432677,0.768,0.712,5.27585206098408e-21,"FKBP5","L2/3 IT"
1.81132684893286e-25,-0.819879646352283,0.118,0.204,6.19057177159785e-21,"AC092839.1","L2/3 IT"
3.24709709553549e-25,-0.856663028007778,0.173,0.263,1.10976037434116e-20,"PRSS51","L2/3 IT"
3.70117166836458e-25,-1.09206630384551,0.102,0.182,1.26494944109696e-20,"AC008731.1","L2/3 IT"
4.67518430317172e-25,-0.951437613628769,0.128,0.213,1.597837739295e-20,"SLC22A6","L2/3 IT"
5.48175222681176e-25,0.273842648893506,0.983,0.977,1.87349845855746e-20,"KCND2","L2/3 IT"
5.49493304502724e-25,-0.707812491656747,0.213,0.309,1.87800326679896e-20,"LINC00710","L2/3 IT"
5.73835502978631e-25,0.387032350856102,0.79,0.718,1.96119759853007e-20,"CLSTN2","L2/3 IT"
5.82345709239055e-25,-1.02214577760817,0.105,0.184,1.99028293046632e-20,"CACNA2D3-AS1","L2/3 IT"
5.82741829950995e-25,-0.820093073156968,0.161,0.251,1.99163675222352e-20,"AL139294.1","L2/3 IT"
6.91185432729824e-25,-0.614220987598414,0.257,0.359,2.36226445344072e-20,"AC083870.1","L2/3 IT"
7.21380188308173e-25,0.257602056226653,0.897,0.872,2.46546106958084e-20,"ADGRL1","L2/3 IT"
1.03498214221594e-24,-0.688572508637528,0.18,0.272,3.53725846745143e-20,"AC051619.5","L2/3 IT"
1.07121990475477e-24,-1.07126850749529,0.115,0.196,3.66110826848036e-20,"AC092939.1","L2/3 IT"
1.07709691558756e-24,-1.25522056562951,0.106,0.185,3.68119412840359e-20,"AC044781.1","L2/3 IT"
1.53944014124876e-24,0.362919157869312,0.686,0.61,5.26134457074588e-20,"BSG","L2/3 IT"
1.64241562360988e-24,-0.994764748355605,0.112,0.193,5.6132838768115e-20,"PCDH9-AS4","L2/3 IT"
2.10870824018297e-24,-0.271424645433979,0.82,0.857,7.20693215247332e-20,"TENT2","L2/3 IT"
2.30394819891224e-24,0.262589329167204,0.853,0.821,7.87420375942238e-20,"NRXN2","L2/3 IT"
2.64970152695458e-24,-0.701580281554818,0.271,0.367,9.05588490867267e-20,"MEF2C-AS2","L2/3 IT"
2.72426931771012e-24,1.10792682314367,0.114,0.055,9.31073524713789e-20,"FP671120.4","L2/3 IT"
2.73321587948087e-24,0.32149792510268,0.846,0.8,9.34131191130178e-20,"CERS4","L2/3 IT"
2.84187983835595e-24,-0.883702479542515,0.176,0.265,9.71269272354913e-20,"LINC02669","L2/3 IT"
2.87561382435571e-24,-1.06524053592238,0.119,0.199,9.82798536750051e-20,"FGF12-AS1","L2/3 IT"
3.36635282137175e-24,-0.97000338944864,0.151,0.236,1.15051840376022e-19,"AC091885.2","L2/3 IT"
3.37862511544074e-24,-0.941034453004905,0.194,0.285,1.15471270570418e-19,"AC016598.2","L2/3 IT"
5.22446773443156e-24,-0.654517010888584,0.152,0.24,1.78556633759667e-19,"AC099788.1","L2/3 IT"
6.26977628801764e-24,-0.527416002509809,0.428,0.521,2.14282144195579e-19,"CES4A","L2/3 IT"
7.45313627018835e-24,-1.06450114691779,0.089,0.162,2.54725838306227e-19,"AC011824.2","L2/3 IT"
8.5827456205389e-24,-0.6171134360618,0.287,0.385,2.93332497073158e-19,"MGST1","L2/3 IT"
1.18516839174154e-23,-1.01861246976789,0.116,0.195,4.05055001245505e-19,"AC012459.1","L2/3 IT"
1.28424798356387e-23,-0.940130859327888,0.127,0.209,4.38917433342625e-19,"AL035427.1","L2/3 IT"
1.57805985237217e-23,-1.03915789264396,0.07,0.138,5.39333515745235e-19,"AC008067.1","L2/3 IT"
1.65926784784888e-23,-0.522310821235149,0.224,0.325,5.6708797235931e-19,"AC013460.1","L2/3 IT"
1.94720045041161e-23,-0.843290904061057,0.204,0.295,6.65494697937174e-19,"AC002463.1","L2/3 IT"
3.14591094374864e-23,-1.42724963646191,0.061,0.126,1.07517798324497e-18,"AC004053.1","L2/3 IT"
3.29371921639943e-23,-1.00811964200217,0.107,0.183,1.12569441658883e-18,"KAZN-AS1","L2/3 IT"
3.32217735058814e-23,-0.4809518744099,0.495,0.592,1.13542055311051e-18,"NOXA1","L2/3 IT"
3.47537159810191e-23,-0.3670090434449,0.571,0.656,1.18777775108329e-18,"GOLT1B","L2/3 IT"
3.78576776488706e-23,-0.778941715417071,0.132,0.215,1.29386184900545e-18,"LINC00470","L2/3 IT"
3.78694294388802e-23,-0.785443356888791,0.156,0.241,1.29426348993261e-18,"AP001442.1","L2/3 IT"
4.60655458551407e-23,-0.897266603762015,0.128,0.209,1.57438216069114e-18,"AC068725.1","L2/3 IT"
4.80440036760019e-23,-0.783997076680814,0.211,0.302,1.64199991363472e-18,"AC009690.2","L2/3 IT"
8.00601129045243e-23,-1.067609467139,0.073,0.141,2.73621447873793e-18,"AC092691.3","L2/3 IT"
9.00127266607397e-23,-0.693575779624235,0.159,0.248,3.0763649590841e-18,"AC117834.1","L2/3 IT"
9.23755875907314e-23,-0.808476005110597,0.128,0.209,3.15712045708843e-18,"HIPK4","L2/3 IT"
1.02771285554713e-22,-0.274578250825615,0.805,0.838,3.51241422640343e-18,"SYTL2","L2/3 IT"
1.08976000957516e-22,0.253139479638909,0.931,0.907,3.72447278472501e-18,"CCDC3","L2/3 IT"
1.29978551732519e-22,-0.462528369407171,0.466,0.561,4.4422769625623e-18,"CYP4X1","L2/3 IT"
1.53125940867251e-22,-0.580291480881536,0.343,0.431,5.23338528102005e-18,"ANKUB1","L2/3 IT"
1.94434906072158e-22,0.258452602881945,0.89,0.865,6.64520178482814e-18,"CHD5","L2/3 IT"
2.09417384304139e-22,-1.02163010612819,0.094,0.166,7.15725794336256e-18,"AC022872.1","L2/3 IT"
2.13485461631447e-22,-0.867093083893506,0.146,0.228,7.29629262217796e-18,"AP003464.1","L2/3 IT"
2.59741187663318e-22,-0.81345146926652,0.104,0.177,8.87717457076922e-18,"AL357873.1","L2/3 IT"
4.36282418840627e-22,-0.403977036815659,0.504,0.606,1.49108242287161e-17,"FILIP1L","L2/3 IT"
5.00243748221747e-22,-0.423968502139911,0.648,0.71,1.70968305829746e-17,"CRLF3","L2/3 IT"
6.16488491912498e-22,0.571710172813701,0.564,0.491,2.10697271880934e-17,"PDZRN4","L2/3 IT"
9.01816849050883e-22,-0.354305778124812,0.557,0.64,3.0821394450012e-17,"TOM1L1","L2/3 IT"
1.02863586940967e-21,-0.73754834984173,0.169,0.254,3.51556881088142e-17,"LINC01310","L2/3 IT"
1.07524386371362e-21,-1.23802061341984,0.058,0.119,3.67486095301405e-17,"AC093843.2","L2/3 IT"
1.1256851095925e-21,-0.858945991532739,0.085,0.154,3.84725399905427e-17,"LINC01877","L2/3 IT"
1.22406986371546e-21,0.406997955565424,0.582,0.517,4.18350357322031e-17,"LRRC37A2","L2/3 IT"
1.31361811751299e-21,0.314073371412205,0.82,0.778,4.48955264022416e-17,"GTF2IRD1","L2/3 IT"
1.31923018729636e-21,0.52349183734448,0.316,0.227,4.50873301112277e-17,"HSPB1","L2/3 IT"
1.4491156844888e-21,-0.298441709632198,0.728,0.784,4.95264267487737e-17,"SPATA7","L2/3 IT"
1.7400654477938e-21,-0.965223545105584,0.116,0.191,5.94702168092487e-17,"AC097537.1","L2/3 IT"
4.56372615564143e-21,-0.807078245438383,0.167,0.251,1.55974468821357e-16,"TTC12","L2/3 IT"
5.55422160903913e-21,-0.386341536808358,0.532,0.623,1.8982663193213e-16,"CIRBP","L2/3 IT"
5.64768453785685e-21,-1.37371843535371,0.06,0.12,1.93020914450334e-16,"LINC01478","L2/3 IT"
6.68872830215759e-21,-0.91869735924417,0.102,0.172,2.2860066718284e-16,"AC107068.2","L2/3 IT"
7.72101705204708e-21,0.348992621987331,0.785,0.738,2.63881199787813e-16,"NFIC","L2/3 IT"
7.94653908405823e-21,-1.09724379617698,0.099,0.169,2.71588866275858e-16,"AC009554.1","L2/3 IT"
1.27428565276542e-20,-0.764818691528905,0.149,0.228,4.35512607545639e-16,"ST7-AS2","L2/3 IT"
1.34018002800419e-20,-0.674888788417075,0.082,0.149,4.5803332817099e-16,"LINC02231","L2/3 IT"
1.41856465523759e-20,-0.625869314780303,0.197,0.283,4.84822842220551e-16,"AC211433.1","L2/3 IT"
1.44016850836114e-20,0.265849585841015,0.851,0.818,4.92206391102588e-16,"BRD4","L2/3 IT"
1.54348682984285e-20,-1.29805174982852,0.075,0.137,5.2751749383539e-16,"AC011287.2","L2/3 IT"
2.42906415600145e-20,-0.79173331711853,0.181,0.263,8.30181256596614e-16,"AL359706.1","L2/3 IT"
2.80080737796737e-20,-1.26818234879525,0.107,0.175,9.5723193756791e-16,"TSIX","L2/3 IT"
2.89036616038398e-20,-1.08684199093205,0.076,0.139,9.87840442634434e-16,"AL445526.1","L2/3 IT"
3.30285311029507e-20,-0.2721819763806,0.855,0.884,1.12881610750554e-15,"UBE3A","L2/3 IT"
4.14481203668879e-20,-0.592282971663698,0.13,0.206,1.41657240977913e-15,"ARAP3","L2/3 IT"
7.02718961866697e-20,-1.3537041241731,0.057,0.114,2.40168259597181e-15,"AC004828.2","L2/3 IT"
7.84298554996863e-20,-0.281524418317096,0.76,0.794,2.68049717141278e-15,"GOLGA8A","L2/3 IT"
8.91443930747998e-20,-1.62938011501567,0.063,0.121,3.04668792211743e-15,"PEX5L-AS2","L2/3 IT"
1.07812634474182e-19,-1.08875863751332,0.076,0.138,3.68471240842412e-15,"AC004253.1","L2/3 IT"
1.23685385366333e-19,-1.0350143724343,0.096,0.164,4.22719541566515e-15,"P2RY12","L2/3 IT"
1.26706065881175e-19,-1.01696762316302,0.088,0.153,4.3304332136209e-15,"LINC00508","L2/3 IT"
1.52218905044321e-19,-0.718909533705961,0.088,0.155,5.20238551769975e-15,"AL157938.2","L2/3 IT"
1.56212624495563e-19,-0.954162215033622,0.085,0.15,5.33887886738485e-15,"AC079841.2","L2/3 IT"
2.18580530690332e-19,-1.09783238481203,0.08,0.143,7.47042679740349e-15,"SLC22A8","L2/3 IT"
2.63243415522016e-19,-0.916596208843431,0.16,0.235,8.99687021229595e-15,"AL596451.1","L2/3 IT"
3.18086957487821e-19,-0.321965826149897,0.665,0.722,1.08712579460613e-14,"AL157944.1","L2/3 IT"
3.67502813341419e-19,-0.84146059048308,0.137,0.21,1.25601436515697e-14,"PRKD3","L2/3 IT"
4.42977389518028e-19,-0.373296944749103,0.326,0.423,1.51396382415576e-14,"LINC02822","L2/3 IT"
4.56984199410112e-19,-0.330371415524676,0.646,0.715,1.56183489832394e-14,"STS","L2/3 IT"
4.69845178388464e-19,-0.657805377400401,0.143,0.218,1.60578986617825e-14,"HHIP","L2/3 IT"
5.28327811723591e-19,-0.533488320077755,0.16,0.241,1.80566596212772e-14,"LINC00960","L2/3 IT"
5.31604208277838e-19,-0.628200243579822,0.252,0.335,1.81686370263117e-14,"AP002336.2","L2/3 IT"
5.80161441001834e-19,-1.3593960552324,0.062,0.118,1.98281775691197e-14,"C3orf49","L2/3 IT"
8.17808286987711e-19,-0.972992704503445,0.063,0.12,2.7950233824379e-14,"AL122014.1","L2/3 IT"
8.20692857486145e-19,-0.314181887653584,0.612,0.689,2.8048819790304e-14,"COL24A1","L2/3 IT"
8.99929283494192e-19,-0.948472283979588,0.148,0.22,3.0756883121981e-14,"AC023424.3","L2/3 IT"
1.0810334647192e-18,-0.488129924236664,0.378,0.471,3.69464807237079e-14,"AC007389.1","L2/3 IT"
1.10021538272139e-18,-1.10334922977222,0.056,0.111,3.7602061135269e-14,"AC010275.1","L2/3 IT"
1.12770990999333e-18,0.325317493740149,0.859,0.837,3.85417415938421e-14,"CDH13","L2/3 IT"
1.17714704834674e-18,-0.705543354105488,0.249,0.329,4.02313546713466e-14,"AP001266.2","L2/3 IT"
1.37039761417806e-18,0.41186198248332,0.552,0.488,4.68360792597637e-14,"SLC5A3","L2/3 IT"
1.44112014835238e-18,-0.87904950728238,0.109,0.177,4.92531633102394e-14,"MIR181A2HG","L2/3 IT"
1.57000112947776e-18,-0.752204358563331,0.103,0.17,5.36579286021614e-14,"MTCP1","L2/3 IT"
1.84762106521136e-18,-0.83353707272366,0.134,0.206,6.31461451457287e-14,"ANGPT2","L2/3 IT"
2.11017042193321e-18,-0.353129705803096,0.537,0.615,7.21192945104115e-14,"SEC31B","L2/3 IT"
2.16734256427946e-18,-1.10163972168907,0.082,0.143,7.40732668193791e-14,"AL136298.1","L2/3 IT"
2.19837563034552e-18,-0.94279744515382,0.098,0.163,7.51338839183187e-14,"AC109441.1","L2/3 IT"
2.21861868750099e-18,-0.72415035924069,0.141,0.214,7.58257308827213e-14,"DUOX1","L2/3 IT"
2.29636126076133e-18,-1.31074936815231,0.05,0.102,7.848273880904e-14,"AC068481.1","L2/3 IT"
2.31472448478783e-18,-1.11661501686523,0.05,0.102,7.91103387165935e-14,"ACKR4","L2/3 IT"
2.56430390162314e-18,-0.604234030353582,0.24,0.328,8.7640214445774e-14,"AC004784.1","L2/3 IT"
2.72584523703653e-18,-0.497829057793547,0.164,0.241,9.31612126661976e-14,"KCNMA1-AS1","L2/3 IT"
3.01120328411033e-18,-0.539434258062875,0.294,0.383,1.02913894641039e-13,"CYREN","L2/3 IT"
3.09553688556935e-18,-0.808808716968347,0.156,0.229,1.05796164138104e-13,"AC025043.1","L2/3 IT"
3.49164915531543e-18,-0.638764287175016,0.207,0.287,1.19334093181216e-13,"CYP4A22-AS1","L2/3 IT"
